"Category","Item","Value","Status","CheckedAt"
"System","Computer Name","SERVER-01","Information","2026-09-05 10:30:00"
"System","Uptime","4 days, 6 hours","Information","2026-09-05 10:30:00"
"Performance","CPU Usage","12%","Healthy","2026-09-05 10:30:00"
"Performance","Memory Used","61%","Healthy","2026-09-05 10:30:00"
"Disk","C:","48% free","Healthy","2026-09-05 10:30:00"
"Disk","D:","14% free","Warning","2026-09-05 10:30:00"
"Service","EventLog","Running","Healthy","2026-09-05 10:30:00"
"Service","LanmanServer","Running","Healthy","2026-09-05 10:30:00"
"Service","W32Time","Running","Healthy","2026-09-05 10:30:00"
"Service","WinRM","Stopped","Warning","2026-09-05 10:30:00"
